"Device name","OS version","Microsoft Entra device ID","Secure Boot enabled","Certificate status","Device model"
"AP-2VTNGM","","775b16e2-56cc-4985-9ab9-1916075e2b6c","Unknown","Not applicable",""
"W365-8NYM24","10.0.26100.7781","c32dd102-d79f-44e2-a703-79250de4cfa9","Yes","Not up to date","Surface Pro 9"
"W365-8QGMDYF","10.0.26100.7634","fcc3fac8-c1f8-451c-b11a-91ea9aa98d01","Yes","Not up to date","Latitude 5540"
"W365-0CHWMLO","10.0.22631.6649","26431e4d-bcba-4a67-b683-4731f50fef58","Yes","Not up to date","Surface Laptop 5"
"AP-35QPB","10.0.22631.6649","bbc6fb70-c33f-4ccf-9f01-28e679201fe3","Yes","Not up to date","Latitude 5440"
"W365-L9WPR","10.0.26100.7634","c7ecf035-fd2b-450c-8c77-f15448fc7168","Yes","Up to date","ThinkPad X1 Carbon Gen 10"
"AP-8FIYNQ","10.0.22631.6649","441ff835-b6a0-483b-8a1d-90a4abd04a17","Yes","Not up to date","Virtual Machine"
"W365-EAZ9DXU","10.0.22631.6649","9c3173ea-3079-4698-ac3a-0a7055f60746","Yes","Not up to date","ThinkPad X1 Carbon Gen 10"
"W365-8NVQDR","10.0.26100.7781","5933036e-5f0d-49c9-bd38-72004d836aa4","No","Not applicable","Surface Pro 9"
"W365-13IZGU","10.0.26100.7781","6112d9cd-ac2f-49df-86d0-0acb1f3e6708","Yes","Not up to date","OptiPlex 7090"
"W365-068UWG","10.0.22631.6584","90d74923-bbe8-4b99-8461-c368ff51d6f8","Yes","Up to date","Latitude 5340"
"AP-H6OS0L","10.0.22631.6649","0fb5e202-6814-47dc-be85-8ab593db46f8","Yes","Not up to date","Precision 5570"
"AP-1OT8VW5","10.0.19045.4123","9746c794-62e0-428d-b93a-2cc2e064a9ad","Yes","Not up to date","OptiPlex 7090"
"W365-YQOCN61E","10.0.22631.6584","dcac5dfd-f1d8-48fa-88b6-2d4ead1725a3","Yes","Not up to date","OptiPlex 7090"
"W365-N2OR9","10.0.22621.5432","33958405-a87e-44a2-9355-b425fb5c14b0","Yes","Not up to date","Latitude 5540"
"AP-0T4RO5UJ","10.0.26100.7634","0e44e0ce-a7e2-4c66-b4f1-992d89a0c54e","Yes","Not up to date","Virtual Machine"
"W365-S963ZB21","10.0.19045.4123","a2c3924c-3625-41e2-9a44-af1c3e2e4dba","Yes","Not up to date","HP ProBook 450 G9"
"W365-J7IC641","10.0.22631.6584","95ad1ac6-829f-40c0-bc28-897285c95f33","Yes","Up to date","Latitude 5440"
"AP-FZWC315N","10.0.22621.5432","6299cd25-a3a3-4df3-a0cd-de9b9a18c487","Yes","Not up to date","ThinkPad T14 Gen 3"
"AP-XAYKN5E","10.0.22631.6584","61067f0b-af05-45a4-8fe4-8be79d8dfa71","Yes","Up to date","OptiPlex 7090"
"AP-AJVFLNX9","","12950ac8-568f-4ee5-a02f-82664ea38916","Unknown","Not applicable",""
"AP-NUKW14","10.0.22631.6584","46c27247-eab3-4ff5-aac3-00a604e1c846","Yes","Not up to date","Precision 5570"
"W365-4TMILV03","10.0.26100.7781","f61e892e-b0e0-4e1a-895b-57f8dbd0070c","Yes","Not up to date","Latitude 5340"
"W365-JP05CRD","10.0.26100.7462","fce19b3a-9c8d-4c03-9351-2660ebc682e9","Yes","Not up to date","Surface Laptop 5"
"AP-4G3ZEI","10.0.26100.7634","641755f8-044b-431c-a3b6-b3512d6fd03a","Yes","Not up to date","HP EliteBook 840 G9"
"AP-1GMA3BS","10.0.19045.4123","3c9d9425-10d0-4622-a129-c9b647206b50","Yes","Up to date","ThinkPad T14 Gen 3"
"AP-SAMT350Y","10.0.22621.5432","8b481917-e8f2-4f62-97c9-8e85a754742e","Yes","Up to date","ThinkPad T14 Gen 3"
"W365-1ADH5","10.0.26100.7634","8d4102b2-d971-4f6d-96f1-47f34efa20c2","Yes","Up to date","HP EliteBook 840 G9"
"W365-8UB2P","10.0.26100.7781","07650559-60b6-4f87-bec8-be4d1ea61272","Yes","Up to date","ThinkPad T14 Gen 3"
"W365-F45M2","10.0.26100.7781","e9a38c77-25fc-4c9c-9d85-ba95874ac91f","No","Not applicable","Surface Pro 9"
"W365-IK6RZG9","10.0.22631.6649","33c0ce43-9bf5-455c-a55c-0e20254eaac2","Yes","Not up to date","OptiPlex 7090"
"W365-EHKPJ9WY","10.0.26100.7781","27700ca4-2351-4c37-8cc5-7fa35a2e50da","Yes","Up to date","HP EliteBook 840 G9"
"AP-MIQ92VPR","10.0.26100.7462","60654bd1-1020-43a0-b303-2e2d2b72f1ad","Yes","Not up to date","Surface Laptop 5"
"W365-K2QDX3W","10.0.26100.7462","6b2ea921-4769-4614-a2dc-c7a560d96b88","No","Not applicable","Latitude 5340"
"W365-5WPIU1","10.0.22631.6584","375a9825-ac44-412b-8212-6edf48acb2ed","Yes","Not up to date","HP EliteBook 840 G9"
"W365-U8QHD","10.0.22621.5432","19127a2c-f033-407a-aab2-0c5049df6648","Yes","Not up to date","Surface Pro 9"
"W365-1PD5CY","10.0.26100.7462","b23a65ba-43c2-49d2-8f4f-8162beadee39","Yes","Up to date","ThinkPad X1 Carbon Gen 10"
"AP-P9MFAQHB","","19475822-1b9c-4e41-89c8-71effee7ec26","Unknown","Not applicable",""
"W365-D8H5Q3","10.0.22621.5432","65860ae1-7cc2-4fb0-b38b-c60f25d69e8a","Yes","Not up to date","Latitude 5540"
"W365-FBGNMVRZ","10.0.26100.7462","8da38b5d-b3e9-472a-b263-bc0d513403dc","Yes","Not up to date","OptiPlex 7090"
"AP-L7UPRB","","c8b6ff46-5484-4a0c-b800-86622ac0a1a6","Unknown","Not applicable",""
"W365-YUFPZ","10.0.26100.7634","bea2e58a-35a5-43ac-a206-c5add2ef5ee3","Yes","Not up to date","Surface Laptop 5"
"W365-I1PEHXNZ","10.0.22631.6649","a0d68b69-856d-4ccb-8b72-837dbbec793a","Yes","Not up to date","ThinkPad T14 Gen 3"
"AP-I9PUH7SV","10.0.26100.7634","5f743c62-e436-4555-939c-c058236f76e3","Yes","Not up to date","HP ProBook 450 G9"
"W365-429RUJ","10.0.26100.7781","44dba519-d525-4cad-874f-a83e5aa4a189","Yes","Up to date","HP EliteBook 840 G9"
"AP-YHBQ65","10.0.22631.6649","8b72b7b3-8308-464e-9ede-84304a8fc513","Yes","Not up to date","Surface Laptop 5"
"W365-E2YP4Z0M","","78c8199f-2de3-42f7-805c-04194ea9b65a","Unknown","Not applicable",""
"W365-USV7CG","10.0.22631.6649","c97ab062-be35-4312-a187-bf460be7f836","Yes","Up to date","Precision 5570"
"W365-U67OD9","","e5dc0057-d573-406a-93c0-2842a78ba8e8","Unknown","Not applicable",""
"AP-0GIM3K7","10.0.26100.7781","243e6fc7-e2fd-4bea-990f-3c54b1f561bc","Yes","Up to date","Latitude 5540"
"W365-2N4VCQAJ","10.0.26100.7781","0756a26e-4659-4a0e-af68-666cfd95f409","Yes","Up to date","ThinkPad X1 Carbon Gen 10"
"AP-SA95BU","10.0.22621.5432","e14e60c6-4f47-491d-b8e9-902db3b10e8b","Yes","Up to date","Virtual Machine"
"W365-PFBD5AG","10.0.22631.6584","802cc6a3-b83b-4751-aa2e-fa075c6a668a","Yes","Up to date","Surface Laptop 5"
"AP-B6ZW5","10.0.22631.6584","a6f7cd1b-7f6d-4f8e-bab0-6e41c6551f22","Yes","Not up to date","Latitude 5340"
"AP-9HAULBZ","10.0.22621.5432","3b5fcbe6-7f8b-4ec4-b912-4cffb64ea4c1","Yes","Not up to date","Virtual Machine"
"W365-NRM67P","10.0.22621.5432","5a360765-7c2a-4a15-9c04-611b21cca4af","Yes","Not up to date","Surface Pro 9"
"W365-SBEZVH","10.0.26100.7781","b72fa038-babb-4be7-9e22-02e44ae692db","Yes","Up to date","ThinkPad T14 Gen 3"
"AP-MQOW4","10.0.26100.7781","cce7b600-3ec3-4574-ae7d-277960e478be","Yes","Not up to date","Latitude 5540"
"AP-0N48UOV","10.0.22631.6584","9a56da31-baa9-4c6b-afb6-d5badd387efe","Yes","Not up to date","ThinkPad X1 Carbon Gen 10"
"AP-FDI1X","10.0.26100.7462","916837a0-f0d2-4f3b-83d7-5199d9ed626d","No","Not applicable","Virtual Machine"
"AP-8RP7L","10.0.22631.6649","760a6b22-a898-491f-8622-aa6cc9ce39d6","Yes","Up to date","Latitude 5540"
"W365-TVQJNO2U","10.0.19045.4123","11200b67-2f92-4156-a17d-489abec20081","Yes","Not up to date","OptiPlex 7090"
"W365-XWZEKQA","10.0.26100.7634","348ae974-223a-435b-a67e-a1f5020b79cc","Yes","Not up to date","Latitude 5540"
"W365-KFT5JH","10.0.26100.7462","e624f316-53fe-4a2c-8af5-038e0644e7ae","Yes","Not up to date","Latitude 5540"
"AP-5JOTB","10.0.22631.6584","94fae8df-ccf8-4933-bb03-59b4dd049289","Yes","Up to date","Precision 5570"
"AP-AGM1U","10.0.26100.7781","cbdf7a64-ff87-4186-a7ee-d4f8e53985a9","Yes","Up to date","ThinkPad X1 Carbon Gen 10"
"W365-9H23WKX","10.0.26100.7781","d81442e1-597a-4d55-b16e-5827bcdb9302","Yes","Up to date","ThinkPad X1 Carbon Gen 10"
"AP-BYIEJO6","10.0.22631.6649","1df15576-99c1-405d-ace9-0d3cb1605076","Yes","Not up to date","Surface Pro 9"
"W365-K41GM7","10.0.22631.6649","b8748c2d-c784-4569-9b1d-b82ca0f738ca","Yes","Not up to date","ThinkPad T14 Gen 3"
"W365-L9WNV6JS","10.0.22621.5432","3d778327-aa94-465e-8676-6c2e065c2cbc","Yes","Not up to date","Virtual Machine"
"W365-QZ9E8","10.0.26100.7634","01a28c6c-e9f8-4e20-80c3-d0022e98def4","Yes","Not up to date","HP EliteBook 840 G9"
"W365-2XUJ3TNK","10.0.26100.7781","edfdf004-25ba-4fd8-b361-bad90c9a8049","Yes","Not up to date","Surface Laptop 5"
"AP-W6X5VT","10.0.22631.6649","c6365579-914a-475e-9596-78dd436d9de0","Yes","Up to date","Latitude 5440"
"AP-3CY7KL","10.0.26100.7781","a7238ec1-2db6-47a2-bb2f-73a5c0c9a617","Yes","Not up to date","Surface Pro 9"
"W365-GYTIL","10.0.22631.6584","8f9ee808-1dba-4bfc-993d-6af9e134a34c","Yes","Not up to date","OptiPlex 7090"
"AP-W3JEVUY","10.0.26100.7781","36faacec-b357-45c0-b2b2-6be92de90a3d","Yes","Not up to date","Virtual Machine"
"W365-25R4VFIX","10.0.22631.6649","7a0f139b-3520-4baf-bf5c-324e9d2ebb80","Yes","Not up to date","Latitude 5540"
"AP-WCHOG4ZR","10.0.19045.4123","ee9b2fab-c772-4e76-969b-201336b87ef7","Yes","Up to date","Latitude 5440"
"W365-WZTQYHD","10.0.19045.4123","4e6b682e-e99b-463d-877c-5f293e2ce28f","Yes","Not up to date","Virtual Machine"
"AP-DXAB6LFT","10.0.22621.5432","3f1f4532-4748-4789-b41c-4700fd4ae8ac","Yes","Not up to date","ThinkPad X1 Carbon Gen 10"
"AP-IWODC6F","10.0.26100.7781","f1484f71-4451-4cc8-ad3d-5fc999942e27","Yes","Not up to date","HP EliteBook 840 G9"
"AP-WRSJQ","10.0.22621.5432","9efa036a-0cc3-4fb5-a161-5bfc862f1dfd","Yes","Not up to date","Virtual Machine"
"AP-LC0JEN","10.0.19045.4123","e32ddb6e-baa7-4f4b-92bf-46a446de63cd","Yes","Up to date","HP ProBook 450 G9"
"AP-J1Y32NV","10.0.26100.7634","d2ec4f15-149c-4021-b36e-51f152664fbf","Yes","Not up to date","Surface Laptop 5"
"AP-KDQCV","10.0.22621.5432","edf8626b-1a66-4977-8ea7-86383cd5d06e","Yes","Not up to date","Surface Pro 9"
"W365-5Z9X2","10.0.22631.6649","87ea1d8c-de3b-47e8-b085-d23a79a5eb57","Yes","Not up to date","Surface Pro 9"
"W365-SG360QW","10.0.26100.7634","0bc0f5e3-a594-4123-8706-5b648a66f0d0","Yes","Not up to date","Precision 5570"
"AP-J1ZSAH","10.0.22631.6649","27063604-85ef-47b8-84ad-715965e0ddeb","Yes","Not up to date","Latitude 5340"
"AP-1JET07","10.0.22621.5432","3fa25b2a-0534-4fa5-836e-4564b46c343c","Yes","Up to date","HP EliteBook 840 G9"
"W365-756DYSEH","10.0.19045.4123","4aeef336-b6f4-4829-bed7-97ccd168c031","Yes","Not up to date","Latitude 5540"
"W365-5N9D70","10.0.26100.7462","379d1f30-273b-42ba-ac5a-c15284c14987","Yes","Not up to date","ThinkPad X1 Carbon Gen 10"
"W365-L3XI5","10.0.26100.7462","c02a2d2c-a691-401c-b3a7-dd0a091429c0","Yes","Not up to date","Surface Pro 9"
"AP-FG5IVU6Q","10.0.19045.4123","2dcb74e3-6fa2-4058-bc96-979d8085c2d4","Yes","Not up to date","Latitude 5440"
"AP-TWJ7YLFH","10.0.26100.7781","0d8a1ae6-3e62-4de3-97ff-266e0dae20fc","Yes","Up to date","Latitude 5540"
"AP-RHY5WV2","10.0.26100.7462","ca073286-38f1-4d50-bbd4-1adc60fa15b9","Yes","Not up to date","Latitude 5440"
"AP-Q7VA0E","10.0.19045.4123","786df133-068f-4b49-b13a-548a4cdaacd1","Yes","Up to date","Surface Laptop 5"
"W365-GW8OH9I0","10.0.26100.7781","703a0c6e-ad26-49db-990a-a54805d39694","Yes","Up to date","HP EliteBook 840 G9"
"W365-1IZLUE","10.0.22621.5432","2af24d7f-b6c0-421b-9be5-cb491b04065f","Yes","Not up to date","Virtual Machine"
"W365-GXYSH4E8","10.0.19045.4123","4f466687-876a-4269-9413-0ee4585a16c1","Yes","Not up to date","ThinkPad X1 Carbon Gen 10"
"AP-I52O6B7T","10.0.22631.6649","de2b743e-5db7-47f2-8b67-0f0577bcfa1f","Yes","Not up to date","Precision 5570"
"W365-7PNW3D9O","10.0.22631.6584","dc820f39-3c50-44ed-adae-d47b2da39519","Yes","Not up to date","HP EliteBook 840 G9"
"AP-6TWS8CU9","10.0.22621.5432","34e254f7-b488-47d8-88a5-aa121ed326b0","Yes","Not up to date","HP EliteBook 840 G9"
"AP-2JICW","10.0.22631.6584","53e1cf90-4c82-40fe-838d-6d7dcfdd4149","Yes","Up to date","Latitude 5340"
"W365-BKSDY7","10.0.22631.6584","91d53a2f-0532-4fb3-b164-c302dea850cd","Yes","Not up to date","Latitude 5340"
"W365-UZPSGM","10.0.26100.7462","98432a54-c065-4e3b-8734-3a8f0e91235d","Yes","Not up to date","HP EliteBook 840 G9"
"W365-7Q801","10.0.22631.6584","6bd17a21-1ef8-455e-905c-e9d50763e7ff","Yes","Not up to date","OptiPlex 7090"
"AP-J0DT87KO","10.0.26100.7781","6b612e46-b735-43c1-806c-0d9e3458a3ab","Yes","Not up to date","HP EliteBook 840 G9"
"AP-SWZJTH5","10.0.26100.7781","5dbb56e2-be8e-43f8-8c98-7dc7a16b6c8e","Yes","Not up to date","Latitude 5440"
"W365-XWSM3","10.0.22631.6649","20766e92-8834-428a-b58c-7eb1e7ab4ea4","Yes","Not up to date","Precision 5570"
"AP-WGUH9B","10.0.22631.6584","0e5d9634-160e-4207-85dd-9a819fe8480d","Yes","Not up to date","ThinkPad X1 Carbon Gen 10"
"AP-KCN7BL","10.0.26100.7634","b1e45769-c23a-484f-8e03-925223395d8f","Yes","Up to date","Latitude 5440"
"W365-MFIN3","10.0.22631.6649","91a64c36-aff3-4d9b-a958-4f2cc924f13d","Yes","Up to date","Surface Pro 9"
"W365-A4T05","10.0.22631.6649","56e6e22b-aea1-4ff5-8d18-79b2678713fe","Yes","Not up to date","Virtual Machine"
"W365-B5WH8P","10.0.26100.7462","8be0bc96-2b7e-4183-99f5-8b1b728954ad","Yes","Not up to date","Surface Pro 9"
"AP-MGQ45CS","10.0.19045.4123","f9131696-79d0-4f10-8a38-27981d5638db","Yes","Not up to date","Latitude 5540"
"W365-3C0GXNQ","10.0.26100.7634","1f856caf-a1b0-4abc-ab38-794493d93b21","Yes","Up to date","ThinkPad X1 Carbon Gen 10"
"W365-EDVN07FW","10.0.22631.6649","1a14c18e-e1e9-4baf-b9e1-4de0b33da2dd","Yes","Not up to date","Surface Pro 9"
"W365-DKGSMXVC","10.0.26100.7634","69d69ea6-94a1-48f8-afe0-e714cda200e2","Yes","Not up to date","HP EliteBook 840 G9"
"AP-R3NUYQ","10.0.26100.7462","0aae4487-3211-4a10-b356-e71af758bfcf","Yes","Not up to date","HP EliteBook 840 G9"
"W365-TWHYI2","10.0.22631.6584","c53f5a50-3958-4640-9556-f10698f1b689","Yes","Not up to date","HP ProBook 450 G9"
"W365-ZBEMDGHS","10.0.22631.6649","94c817e7-8677-4702-96aa-69de4e124893","Yes","Not up to date","HP ProBook 450 G9"
"W365-PG1926D","10.0.22621.5432","beded737-fd50-45bd-b159-9b427e4fb0a4","Yes","Not up to date","Virtual Machine"
"AP-VP8RJE","10.0.26100.7781","b21b55a5-d317-4c34-a1f5-900e6976f461","Yes","Up to date","OptiPlex 7090"
"AP-8PGI9","10.0.26100.7781","dce8ab8a-e0f2-44d2-8af2-600984b6e0fc","Yes","Not up to date","Latitude 5440"
"W365-3BH51","10.0.22631.6584","259d387c-9ddf-41b3-a8de-816ac5716f4c","Yes","Not up to date","Surface Pro 9"
"AP-2MFAW","10.0.22621.5432","12df0549-b0de-4dda-a973-07826c8b3794","No","Not applicable","Latitude 5440"
"W365-EB6RS1","10.0.26100.7462","80a0c96e-5161-479c-8328-ab09bbf9e115","Yes","Not up to date","Surface Laptop 5"
"AP-40SLV3D","","c6e81454-ee6e-4f35-8fa7-e904e96da7fb","Unknown","Not applicable",""
"W365-SDA689BQ","10.0.22631.6649","aa258c1c-e61f-4eaa-8572-91be00ad0138","Yes","Not up to date","Latitude 5540"
"AP-G6KM4","","1f79dff6-5b51-45a6-b7f3-343d7f96cf79","Unknown","Not applicable",""
"AP-Z42MCJ","10.0.22631.6584","d4d6aaa1-8bde-4b57-a87c-024d65016c88","Yes","Up to date","Surface Pro 9"
"AP-ST9CNK","10.0.22621.5432","6336b8c8-3696-4f77-ae06-0c077d7242ae","Yes","Not up to date","OptiPlex 7090"
"AP-IWLV06","10.0.26100.7634","c9a183d2-93de-420e-93c5-440a5dfc94a1","Yes","Not up to date","ThinkPad X1 Carbon Gen 10"
"W365-DV5692L","10.0.26100.7781","4ce00365-00bf-444e-a449-2020ed34fa71","Yes","Up to date","OptiPlex 7090"
"W365-BSPO25QG","10.0.19045.4123","2f082296-9bb7-4e66-b44a-ed3165ab80a3","Yes","Not up to date","ThinkPad X1 Carbon Gen 10"
"W365-VLJ5X4","10.0.22631.6649","6eb2b044-ad26-4923-9a06-331e2222eb4f","Yes","Not up to date","Surface Laptop 5"
"AP-28WNC4S7","10.0.22621.5432","96baf970-121c-4480-b1ed-fac0f78a7e88","Yes","Up to date","Surface Laptop 5"
"W365-6WCZ7","10.0.22621.5432","5c9ad64b-ad34-4fb7-be65-eb9ee7cd5016","Yes","Not up to date","Surface Laptop 5"
"W365-XLDATW8","10.0.22631.6649","1dd70759-622d-4fd5-be74-0c0eb5c8df70","Yes","Not up to date","Latitude 5340"
"W365-XZSGN19","10.0.26100.7781","64a81ec8-ea4e-4066-b399-d1bfd360d2ef","Yes","Not up to date","Surface Pro 9"
"W365-VYRSOA7F","10.0.22621.5432","d7830490-5ea1-40d3-9370-545e97daa070","Yes","Not up to date","OptiPlex 7090"
"AP-9DKHPVG","10.0.22631.6584","60ff917d-ec50-4b82-980f-8dabd5448a5e","Yes","Up to date","ThinkPad T14 Gen 3"
"W365-KGEIJS","10.0.22621.5432","0d1b671e-1181-4b2b-9346-94da8c98a0c9","No","Not applicable","Latitude 5540"
"AP-TQY4ASKM","10.0.26100.7462","3f8ff6f1-4ed7-46fa-b758-c0f98541d9ae","Yes","Not up to date","Virtual Machine"
"AP-R9J50Q1C","10.0.26100.7462","9befa07d-4617-4bb2-9d55-7bd1c6754759","Yes","Up to date","Latitude 5540"
"AP-UA2C45X","10.0.22621.5432","8ad3e856-b0e5-4e1a-9ad2-37952f576e28","Yes","Not up to date","Latitude 5540"
"W365-KAIBGHN","10.0.26100.7634","3f33edac-ba10-4893-af5a-daad85997b9d","Yes","Not up to date","Surface Pro 9"
"W365-4CEGJ3YK","10.0.19045.4123","250fb51c-2380-422a-a8a1-85c2694c2e30","Yes","Not up to date","Latitude 5440"
"AP-J5X69O81","10.0.26100.7781","737e18d7-3a87-49d6-9bf2-b5405fab5fdc","Yes","Up to date","Surface Pro 9"
"AP-EWY2V04","10.0.22631.6584","9825ed47-f5db-4247-a1b0-045653e30313","Yes","Not up to date","OptiPlex 7090"
"AP-8GI6D","10.0.22631.6584","90b88684-feff-4a76-97cc-ead49216d513","Yes","Not up to date","Latitude 5440"
"AP-YX7L3","10.0.22631.6584","721dd7f6-4073-4203-9c79-07bea91e16da","Yes","Not up to date","HP ProBook 450 G9"
"W365-6F7TG","10.0.26100.7634","1c169b3b-fd9d-4281-aa20-e13f7272bd57","Yes","Not up to date","Latitude 5340"
"W365-IBQFOH","10.0.26100.7634","f4e67d61-baff-4441-84a2-67d321b5c73a","Yes","Not up to date","HP EliteBook 840 G9"
"W365-45LVT","","92335d93-5674-4640-8601-b5dee0703a83","Unknown","Not applicable",""
"W365-C0UPT","10.0.19045.4123","ea9ad263-a212-4b3f-9d4a-08a75809cd25","Yes","Not up to date","HP EliteBook 840 G9"
"W365-53WP84","10.0.26100.7462","3db3d7cc-b653-4a7f-ac55-5436013fd1cb","Yes","Not up to date","OptiPlex 7090"
"AP-R7TD8B56","10.0.22621.5432","3dac499d-74a1-4e96-87af-81665880419b","Yes","Not up to date","ThinkPad T14 Gen 3"
"AP-HPERA","10.0.26100.7781","0878472f-0598-4a4e-9f3e-6827033a9908","Yes","Up to date","Precision 5570"
"AP-8BP9UNFX","10.0.22631.6649","d0b9f6d2-08f2-411a-9355-26f9238c8d4f","Yes","Up to date","HP EliteBook 840 G9"
"W365-1ANVUR","10.0.26100.7634","ac70951d-6529-4aaa-83a1-76599a4f342e","Yes","Up to date","ThinkPad T14 Gen 3"
"W365-726YG5O","10.0.26100.7781","616e2816-7694-4e95-903d-d0e4dde1a6e5","Yes","Not up to date","Virtual Machine"
"W365-FE3ICZWS","10.0.26100.7462","22a9b1d5-2d38-419d-98f2-8aa691abb73e","Yes","Not up to date","Surface Laptop 5"
"W365-V8U2W5","10.0.19045.4123","fb5b9b9b-9683-4522-b5a8-c3e724de9452","Yes","Not up to date","HP EliteBook 840 G9"
"AP-5EYL4H6I","10.0.26100.7634","7029d20c-0ca7-47b8-8b4e-f610cddd7ef9","Yes","Not up to date","Latitude 5440"
"W365-HU4TRQ","10.0.19045.4123","1545007b-abf7-4499-8451-fb2c7b3ab6ab","Yes","Not up to date","Virtual Machine"
"AP-DR4UPK","10.0.22631.6649","ea7c94f7-2388-4e9d-8894-dbeb46b5f7b0","Yes","Not up to date","HP ProBook 450 G9"
"AP-J26YE0P","10.0.26100.7781","a64c0f79-648f-4eff-b55e-839bba3300f5","Yes","Up to date","Latitude 5340"
"AP-YADWUP3","10.0.22621.5432","3fe9ed41-dd6b-4625-aaff-bd25c9cce48e","Yes","Not up to date","Virtual Machine"
"W365-TS0F3","10.0.26100.7781","5c9a2fff-df2d-4b09-9573-5b1a5341804f","Yes","Not up to date","Virtual Machine"
"AP-89SI6YE","10.0.26100.7462","ffaf192e-3f6b-459d-9219-32e5cf02a6e8","Yes","Up to date","Virtual Machine"
"W365-RC8IX6","10.0.22621.5432","2ff7b103-ceed-4d57-8fdc-32a665013f44","Yes","Up to date","Latitude 5440"
"W365-3L2FR14S","10.0.22631.6649","55fe2aec-00ad-46fe-ac9f-10c2806d576a","Yes","Not up to date","ThinkPad T14 Gen 3"
"W365-39CJLWEF","10.0.26100.7462","62c2ec11-e36c-427d-a923-628f1df26630","Yes","Up to date","Latitude 5540"
"W365-C8HA24T","10.0.26100.7781","57ed7d15-194e-403a-a8f1-719000d63111","Yes","Not up to date","Surface Laptop 5"
"AP-E1HYP","10.0.26100.7462","42675b45-ce01-41fb-8ce9-39c0954b9c9c","Yes","Not up to date","Latitude 5440"
"AP-E1ZPL","10.0.26100.7781","26ed86df-e152-4be5-97e4-57e8c7965977","Yes","Not up to date","Virtual Machine"
"W365-MRNUW3CB","10.0.22631.6584","cbbc968f-46bb-471d-8be4-18b1dfd4ef1c","No","Not applicable","Precision 5570"
"W365-D2068B5O","10.0.26100.7781","6381e692-0dff-4351-89e4-96995e0c79a4","Yes","Up to date","Virtual Machine"
"AP-I68CAE","10.0.26100.7462","11aab08f-d87a-48b0-abb5-acbc4e3857c2","Yes","Not up to date","Latitude 5440"
"AP-OINVZ8","10.0.22631.6584","531d5dd0-0684-49ec-9173-07b182724483","No","Not applicable","ThinkPad X1 Carbon Gen 10"
"AP-E45IAPOT","10.0.22631.6649","4208998e-caf3-4632-939b-c1c42bc70184","Yes","Not up to date","HP ProBook 450 G9"
"AP-GFB79HUA","10.0.22621.5432","49365317-e5da-48c8-89e8-aaeacf3cec17","Yes","Up to date","OptiPlex 7090"
"AP-NU9786AF","10.0.26100.7634","cb0f7db6-79a9-4aab-a451-f7ad56fd7eac","Yes","Not up to date","OptiPlex 7090"
"W365-VAGXQ86F","10.0.26100.7634","4ae73b0f-a2ae-4a5e-a292-3b84a578cd9b","Yes","Not up to date","ThinkPad X1 Carbon Gen 10"
"AP-VP25FD","10.0.22621.5432","3e123584-96f8-4ee0-a009-9679808c82e8","Yes","Up to date","OptiPlex 7090"
"AP-0QKLPV","10.0.22631.6649","5249cff8-f78b-4664-8dfc-a3768bbced03","Yes","Not up to date","Latitude 5440"
"AP-BMCOF","10.0.22631.6584","3dee469b-3cb1-488b-b9c1-46b9371cbaaa","Yes","Not up to date","Surface Laptop 5"
"AP-3YXHNO","10.0.26100.7634","94674ea1-52eb-4c54-8757-56101a4a1c6f","Yes","Not up to date","OptiPlex 7090"
"W365-N0Z73W5P","10.0.22621.5432","71787fb1-191f-4170-89f0-7133ee3680e1","Yes","Not up to date","Precision 5570"
"AP-MRNEVZD","10.0.26100.7462","eae53ccb-aece-4c48-b4c2-e76c42d1e0d0","Yes","Not up to date","Latitude 5340"
"W365-EW3UDHIK","10.0.26100.7634","865df3fc-198c-40db-b2be-8b634587dd35","Yes","Up to date","Latitude 5440"
"AP-QEFY2J8","10.0.19045.4123","524b3ac0-c41e-4c5d-b95c-aa5a863cf8a9","Yes","Not up to date","ThinkPad T14 Gen 3"
"AP-XM6KU","10.0.26100.7462","b077b032-0e4a-49cf-a4a5-bf854c003c37","Yes","Not up to date","Latitude 5540"
"W365-F3TLBW","10.0.22621.5432","fefd8f9a-891d-475d-8309-498233057328","Yes","Not up to date","Virtual Machine"
"W365-15OK4U","10.0.26100.7462","37ab8417-5f52-4cb8-9462-2cbcb39761c6","Yes","Not up to date","ThinkPad X1 Carbon Gen 10"
"W365-S0KDE","10.0.26100.7462","5a14e344-0805-47e5-b4bd-87b48b6f37aa","Yes","Not up to date","Latitude 5540"
"AP-64CDW","10.0.19045.4123","1b7beb6b-3a27-4cf6-8f56-72564948503a","Yes","Not up to date","Precision 5570"
"AP-7XEA3","10.0.22621.5432","65c99085-f48a-4db8-bba0-7a2629d24ddb","Yes","Not up to date","Latitude 5540"
"W365-UOXCDE","10.0.22631.6649","6359d000-b26a-42d0-9068-ff973fca3a98","Yes","Not up to date","Latitude 5440"
"AP-WJMDYB","10.0.22631.6649","a95d97dc-6fed-44ba-8d23-250683d532b2","Yes","Up to date","ThinkPad X1 Carbon Gen 10"
"W365-5BRTAKPN","10.0.22621.5432","18b1fab9-8895-417f-80d3-67cf9ac821dc","Yes","Not up to date","Latitude 5540"
"AP-WV5UOSR","10.0.26100.7634","16af4b8d-4f27-4340-81d8-24d0de9bc2db","Yes","Not up to date","OptiPlex 7090"
